City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bachaquero,VE,76.77,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
2,Boueni,YT,80.58,light rain,-12.9025,45.0761,The feet in water
4,Ambilobe,MG,72.64,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
7,Conceicao Do Araguaia,BR,75.97,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
9,Hamilton,US,76.84,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
15,Hithadhoo,MV,84.67,overcast clouds,-0.6,73.0833,Scoop Guest House
16,Atar,MR,78.31,scattered clouds,20.5169,-13.0499,Oumou Elghoura
17,Tsaratanana,MG,73.83,overcast clouds,-16.7833,47.65,
20,Bosaso,SO,83.62,scattered clouds,11.2842,49.1816,Red Sea Hotel
21,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
23,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
25,Pajan,EC,76.44,light rain,-1.5667,-80.4167,Cecadel
26,Ravar,IR,73.0,overcast clouds,31.2656,56.8055,computertik
30,Ibra,OM,78.31,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
31,Arraial Do Cabo,BR,75.81,clear sky,-22.9661,-42.0278,Pousada Porto Praia
32,Upata,VE,77.74,overcast clouds,8.0086,-62.3989,Posada Villa Nela
38,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
39,Cidreira,BR,71.37,moderate rain,-30.1811,-50.2056,Hotel Castelo
42,Mahebourg,MU,76.24,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
44,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
48,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
49,Kilindoni,TZ,81.25,broken clouds,-7.9139,39.6668,Bustani B&B
53,Hambantota,LK,79.7,overcast clouds,6.1241,81.1185,Bungalow 63
56,Sur,OM,85.32,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
57,Coxim,BR,78.13,overcast clouds,-18.5067,-54.76,Hotel Avenida
58,Thinadhoo,MV,84.11,overcast clouds,0.5333,72.9333,
60,Iquitos,PE,77.04,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
62,Hobyo,SO,82.85,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
64,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
65,Dingle,PH,79.36,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
66,Nizwa,OM,80.11,overcast clouds,22.9333,57.5333,Orient Apartments
67,Kulhudhuffushi,MV,83.3,overcast clouds,6.6221,73.07,Haajy Guest House 1
69,Luanda,AO,77.25,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
70,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
76,Tsabong,BW,70.57,overcast clouds,-26.0217,22.401,Springbok Motel
81,Souillac,MU,75.33,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
82,Lamin,GM,73.51,scattered clouds,13.3522,-16.4339,Jerreh Camp Lodge
83,Sechura,PE,74.52,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
85,Bambous Virieux,MU,76.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
88,Monrovia,LR,78.57,moderate rain,6.3005,-10.7969,Sunset Inn
90,Antsohihy,MG,73.45,overcast clouds,-14.8796,47.9875,Hotel de Ville
92,Kidal,ML,85.12,few clouds,18.4411,1.4078,
100,Kontagora,NG,87.22,overcast clouds,10.3999,5.4695,Queens Guest Inn
101,Kongolo,CD,70.99,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
104,Tubara,CO,79.75,broken clouds,10.8744,-74.9789,villa ampi
106,Puerto El Triunfo,SV,84.97,few clouds,13.2833,-88.55,Hotel Jardin
108,Toccoa,US,80.24,clear sky,34.5773,-83.3324,Quality Inn
109,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
115,Belmonte,BR,77.14,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
116,Najibabad,IN,75.79,clear sky,29.6333,78.3333,OYO 48552 Hotel Chandrayan
118,Itarema,BR,77.88,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
122,Owensboro,US,82.38,clear sky,37.7742,-87.1133,Courtyard by Marriott Owensboro
125,Jacqueville,CI,81.09,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
126,Arlit,NE,86.23,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
133,Buraydah,SA,77.16,overcast clouds,26.326,43.975,Mövenpick Qassim
138,Santa Rosa,PH,84.02,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
