,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Dikson,73.5069,80.5464,-8.25,100,100,6.17,RU,overcast clouds,2022-04-22 23:10:04
1,Bachaquero,9.9694,-71.1494,76.77,82,100,3.69,VE,overcast clouds,2022-04-22 23:10:04
2,Boueni,-12.9025,45.0761,80.58,80,100,16.02,YT,light rain,2022-04-22 23:10:04
3,Cape Town,-33.9258,18.4232,59.34,71,0,17.0,ZA,clear sky,2022-04-22 23:10:05
4,Ambilobe,-13.2,49.05,72.64,92,91,3.78,MG,overcast clouds,2022-04-22 23:10:05
5,Jamestown,42.097,-79.2353,53.02,51,0,6.91,US,clear sky,2022-04-22 23:10:06
6,Port Alfred,-33.5906,26.891,58.17,95,100,3.0,ZA,moderate rain,2022-04-22 23:10:06
7,Conceicao Do Araguaia,-8.2578,-49.2647,75.97,86,100,2.13,BR,overcast clouds,2022-04-22 23:06:26
8,Iqaluit,63.7506,-68.5145,8.04,86,95,4.32,CA,overcast clouds,2022-04-22 23:10:07
9,Hamilton,39.1834,-84.5333,76.84,50,40,6.91,US,scattered clouds,2022-04-22 23:10:07
10,Iskateley,67.6803,53.1512,-2.06,93,8,7.65,RU,clear sky,2022-04-22 23:10:08
11,Ribeira Grande,38.5167,-28.7,58.48,66,95,13.29,PT,overcast clouds,2022-04-22 23:10:08
12,Port Elizabeth,-33.918,25.5701,60.1,93,100,13.0,ZA,overcast clouds,2022-04-22 23:09:21
13,Ushuaia,-54.8,-68.3,44.26,61,40,4.61,AR,scattered clouds,2022-04-22 23:10:08
14,Birin,26.8865,88.0718,58.51,77,1,4.63,NP,clear sky,2022-04-22 23:10:09
15,Hithadhoo,-0.6,73.0833,84.67,70,100,11.5,MV,overcast clouds,2022-04-22 23:09:14
16,Atar,20.5169,-13.0499,78.31,20,49,6.98,MR,scattered clouds,2022-04-22 23:10:09
17,Tsaratanana,-16.7833,47.65,73.83,81,99,8.39,MG,overcast clouds,2022-04-22 23:10:10
18,Upernavik,72.7868,-56.1549,4.51,95,70,2.48,GL,broken clouds,2022-04-22 23:09:35
19,Kumylzhenskaya,49.8809,42.5898,47.98,91,99,9.08,RU,overcast clouds,2022-04-22 23:10:11
20,Bosaso,11.2842,49.1816,83.62,65,39,6.53,SO,scattered clouds,2022-04-22 23:10:11
21,Saint-Pierre,-21.3393,55.4781,76.68,77,0,26.46,RE,clear sky,2022-04-22 23:10:11
22,Valparaiso,-33.0393,-71.6273,69.44,73,0,3.44,CL,clear sky,2022-04-22 23:10:12
23,Grand Gaube,-20.0064,57.6608,76.37,71,81,7.0,MU,broken clouds,2022-04-22 23:10:12
24,Aketi,2.7388,23.7833,69.22,98,82,1.79,CD,light rain,2022-04-22 23:10:13
25,Pajan,-1.5667,-80.4167,76.44,89,83,1.83,EC,light rain,2022-04-22 23:10:13
26,Ravar,31.2656,56.8055,73.0,28,100,4.23,IR,overcast clouds,2022-04-22 23:10:13
27,Obo,5.3998,26.4869,68.58,84,99,1.83,CF,overcast clouds,2022-04-22 23:06:21
28,Longyearbyen,78.2186,15.6401,21.04,73,75,4.61,SJ,light snow,2022-04-22 23:10:14
29,Hofn,64.2539,-15.2082,44.78,86,11,0.45,IS,few clouds,2022-04-22 23:09:22
30,Ibra,22.6906,58.5334,78.31,39,99,1.68,OM,overcast clouds,2022-04-22 23:10:15
31,Arraial Do Cabo,-22.9661,-42.0278,75.81,82,0,8.93,BR,clear sky,2022-04-22 23:10:15
32,Upata,8.0086,-62.3989,77.74,66,86,5.77,VE,overcast clouds,2022-04-22 23:10:15
33,Ponta Do Sol,32.6667,-17.1,63.23,68,92,12.62,PT,overcast clouds,2022-04-22 23:10:16
34,Zanjan,36.6736,48.4787,53.46,52,0,4.14,IR,clear sky,2022-04-22 23:10:16
35,Derzhavinsk,51.1,66.3167,36.55,53,1,9.86,KZ,clear sky,2022-04-22 23:10:17
36,Mar Del Plata,-38.0023,-57.5575,53.62,94,75,15.99,AR,broken clouds,2022-04-22 23:09:50
37,Ilulissat,69.2167,-51.1,24.82,80,75,5.75,GL,broken clouds,2022-04-22 23:10:17
38,Salalah,17.0151,54.0924,80.69,83,20,1.14,OM,few clouds,2022-04-22 23:10:07
39,Cidreira,-30.1811,-50.2056,71.37,80,100,15.3,BR,moderate rain,2022-04-22 23:10:18
40,Margate,51.3813,1.3862,52.3,88,100,4.0,GB,overcast clouds,2022-04-22 23:05:32
41,Bredasdorp,-34.5322,20.0403,56.89,61,81,6.76,ZA,broken clouds,2022-04-22 23:10:19
42,Mahebourg,-20.4081,57.7,76.24,67,86,18.41,MU,overcast clouds,2022-04-22 23:08:52
43,Radom,51.4025,21.1471,42.15,86,9,1.99,PL,clear sky,2022-04-22 23:10:19
44,Georgetown,5.4112,100.3354,82.33,89,40,0.0,MY,scattered clouds,2022-04-22 23:09:34
45,Hermanus,-34.4187,19.2345,54.81,67,35,10.94,ZA,scattered clouds,2022-04-22 23:06:03
46,Busselton,-33.65,115.3333,55.8,78,0,11.54,AU,clear sky,2022-04-22 23:10:20
47,Richards Bay,-28.783,32.0377,68.31,92,74,4.12,ZA,broken clouds,2022-04-22 23:10:21
48,Saint-Philippe,-21.3585,55.7679,76.59,83,88,16.82,RE,light rain,2022-04-22 23:09:33
49,Kilindoni,-7.9139,39.6668,81.25,75,76,5.32,TZ,broken clouds,2022-04-22 23:10:21
50,Pangnirtung,66.1451,-65.7125,8.64,91,86,2.17,CA,overcast clouds,2022-04-22 23:10:21
51,Harbour Breton,47.4833,-55.7983,38.25,86,100,10.13,CA,overcast clouds,2022-04-22 23:10:22
52,Maniitsoq,65.4167,-52.9,30.18,92,100,5.01,GL,overcast clouds,2022-04-22 23:10:22
53,Hambantota,6.1241,81.1185,79.7,81,94,7.18,LK,overcast clouds,2022-04-22 23:09:27
54,Luderitz,-26.6481,15.1594,59.72,78,0,16.8,NA,clear sky,2022-04-22 23:10:23
55,Synya,65.3718,58.0387,4.28,98,44,3.33,RU,scattered clouds,2022-04-22 23:10:23
56,Sur,22.5667,59.5289,85.32,42,96,11.56,OM,overcast clouds,2022-04-22 23:10:24
57,Coxim,-18.5067,-54.76,78.13,55,95,5.59,BR,overcast clouds,2022-04-22 23:10:24
58,Thinadhoo,0.5333,72.9333,84.11,75,100,12.48,MV,overcast clouds,2022-04-22 23:10:25
59,Pisco,-13.7,-76.2167,65.01,88,0,16.11,PE,clear sky,2022-04-22 23:10:25
60,Iquitos,-3.7481,-73.2472,77.04,94,40,2.3,PE,scattered clouds,2022-04-22 23:10:25
61,Kruisfontein,-34.0033,24.7314,57.88,83,100,4.94,ZA,overcast clouds,2022-04-22 23:10:26
62,Hobyo,5.3505,48.5268,82.85,75,86,12.03,SO,overcast clouds,2022-04-22 23:10:26
63,Punta Arenas,-53.15,-70.9167,46.51,71,75,6.91,CL,broken clouds,2022-04-22 23:07:29
64,Santa Cruz,-17.8,-63.1667,80.65,74,40,18.41,BO,scattered clouds,2022-04-22 23:10:27
65,Dingle,10.9995,122.6711,79.36,86,42,8.08,PH,scattered clouds,2022-04-22 23:10:27
66,Nizwa,22.9333,57.5333,80.11,29,96,2.66,OM,overcast clouds,2022-04-22 23:10:28
67,Kulhudhuffushi,6.6221,73.07,83.3,72,100,2.3,MV,overcast clouds,2022-04-22 23:10:28
68,Chuy,-33.6971,-53.4616,54.72,95,100,6.02,UY,overcast clouds,2022-04-22 23:10:28
69,Luanda,-8.8368,13.2343,77.25,89,70,6.13,AO,broken clouds,2022-04-22 23:06:43
70,Port-Gentil,-0.7193,8.7815,80.56,83,20,5.75,GA,few clouds,2022-04-22 23:10:29
71,Calvinia,-31.4707,19.776,59.02,67,88,8.14,ZA,overcast clouds,2022-04-22 23:10:29
72,Lyuban,52.7985,28.0048,42.44,98,100,4.9,BY,overcast clouds,2022-04-22 23:10:30
73,Maralal,1.0968,36.698,58.51,93,98,3.56,KE,overcast clouds,2022-04-22 23:10:30
74,Talara,-4.5772,-81.2719,68.94,86,11,13.98,PE,few clouds,2022-04-22 23:10:30
75,Lovozero,68.005,35.0117,30.02,98,100,2.28,RU,overcast clouds,2022-04-22 23:10:31
76,Tsabong,-26.0217,22.401,70.57,52,99,5.68,BW,overcast clouds,2022-04-22 23:10:31
77,Lebu,-37.6167,-73.65,54.9,90,79,8.63,CL,broken clouds,2022-04-22 23:09:00
78,Catanzaro,38.8908,16.5987,58.75,78,38,9.69,IT,scattered clouds,2022-04-22 23:10:32
79,Carnarvon,-24.8667,113.6333,64.47,59,0,8.05,AU,clear sky,2022-04-22 23:10:32
80,Conneaut,41.9476,-80.5542,57.51,54,100,5.59,US,overcast clouds,2022-04-22 23:08:02
81,Souillac,-20.5167,57.5167,75.33,69,80,17.98,MU,broken clouds,2022-04-22 23:10:33
